No;Dapil;Alamat;Kelurahan;Usulan;Jenis;Status
1;1;Jl. Mangga Besar 13 A;MANGGA BESAR;Permohonan sound system;Usulan Kegiatan;Divalidasi
2;1;Jl. Cempaka Baru VIII;CEMPAKA BARU;Permohonan sound system;Usulan Kegiatan;Divalidasi
3;1;Jl. Cempaka Baru VIII;CEMPAKA BARU;Permohonan sound system untuk paud;Usulan Kegiatan;Divalidasi
4;1;Jl. Sukamulia II;HARAPAN MULIA;Permohonan kursi roda;Usulan Kegiatan;Divalidasi
5;1;Jl. Sukamulia II;HARAPAN MULIA;permohonan alat-alat paud (permainan indoor);Usulan Kegiatan;Divalidasi
6;1;Jl. Sukamulia II;HARAPAN MULIA;permohonan sound system untuk kegiatan olahraga;Usulan Kegiatan;Divalidasi
7;1;Jl. Sukamulia II;HARAPAN MULIA;Permohonan Hadroh beserta sound system nya;Usulan Kegiatan;Divalidasi
8;1;Jl. D Utan Panjang 3 No.30;UTAN PANJANG;Permohonan Hadroh;Usulan Kegiatan;Divalidasi
9;1;Jl. Dahlia gg Tongkang;KRAMAT;Permohonan untuk pengadaan sound system, Hadroh, tenis meja;Usulan Kegiatan;Divalidasi
10;1;Jl. Rawasari Timur I Dalam;CEMPAKA PUTIH TIMUR;Masalah JIS dimana masyarakat di sekitarnya masih butuh bantuan pemerintah;Usulan Kegiatan;Divalidasi
11;1;Jl. Rawasari Timur I Dalam;CEMPAKA PUTIH TIMUR;Pentingnya imunisasi untuk anak yang berusia 2-5 tahun;Usulan Kegiatan;Divalidasi
12;1;Jl. Rawasari Timur I Dalam;CEMPAKA PUTIH TIMUR;Kurikulum merdeka harusnya dapat di implementasikan dan dilaksanakan dengan baik secara terstuktur;Saran;Divalidasi
13;1;Jl. Cempaka Putih Barat XXV;CEMPAKA PUTIH BARAT;Adakah penggantian untuk untuk alat alat kesehatan yang tidak berlaku lagi;Usulan Kegiatan;Divalidasi
14;1;Jl. Cempaka Putih Barat XXV;CEMPAKA PUTIH BARAT;pengajuan permohonan untuk peralatan hadroh;Usulan Kegiatan;Divalidasi
